baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000000003.10	1.00058020715763	-1.14539180088865	2.77435769834704	-0.412849360257716	0.679716984627923	NA
ENSG00000000419.8	117.654499149892	0.507559861197137	0.320260190597883	1.58483594307987	0.113003613620241	0.421836399755043
ENSG00000000457.9	40.4479708398934	0.771805028260838	0.472020552287058	1.63510894710251	0.102026210907454	0.405295311894389
ENSG00000000460.12	66.8896873434049	0.637450887712709	0.4259890427757	1.49640207541289	0.134548909052793	0.45517212790013
ENSG00000000971.11	108.438718635284	0.137292199704449	0.331205675760216	0.414522484825546	0.67849150364456	0.878454251103882
ENSG00000001036.9	127.5260530588	-0.172188944251611	0.310910498637228	-0.553821582115573	0.579700956497857	0.828282152982571
ENSG00000001084.6	75.5051157595031	0.690584281522181	0.374385781553712	1.8445793498253	0.0650987532131448	0.340110385159646
ENSG00000001167.10	67.9216775554477	0.105364648281678	0.378369993927395	0.278469883903891	0.780651680264155	0.920296886458153
ENSG00000001460.13	23.2851933280916	1.05526614058278	0.599813499119604	1.75932376002154	0.0785225331549466	NA
ENSG00000001461.12	91.1830137069511	0.582652848425387	0.347805942398578	1.67522396083066	0.0938902980462059	0.390976428270577
ENSG00000001497.12	222.627418329707	-0.228126530311984	0.264493152752479	-0.86250448428611	0.388409966507196	0.705652191462868
ENSG00000001617.7	21.3752965330553	0.491621048100474	0.72260707159415	0.68034353305719	0.496286966057135	NA
ENSG00000001629.5	105.579886333756	0.573953883243522	0.321966937894582	1.78264851352981	0.0746435373587716	0.354947021740654
ENSG00000001630.11	502.265801239992	-0.0688931836228203	0.228846975294694	-0.301044763795126	0.763380360280032	0.915063206580901
ENSG00000001631.10	122.106172980025	0.145650214053582	0.314032722767758	0.463805850453671	0.642786851376981	0.862031355434132
ENSG00000002016.12	19.6935525530247	0.769565682917212	0.635089682051497	1.21174332486606	0.225610649121784	NA
ENSG00000002330.9	16.504713636778	0.815213129225858	0.724365927603287	1.12541617180029	0.260412721385959	NA
ENSG00000002549.8	116.08670922032	-0.198269517806514	0.319635326286439	-0.620299139366203	0.535060861440221	0.803696648878718
ENSG00000002586.13	60.6966496680427	0.457168784722002	0.404487750841626	1.13024135779331	0.258374537148766	0.593145381356038
ENSG00000002587.5	5.05658643218541	-0.610503308620606	1.21502607487587	-0.502461075728745	0.615343226112379	NA
ENSG00000002726.15	0.25783048932162	-1.17213630432398	4.97349543646134	-0.235676561745869	0.813683658649948	NA
ENSG00000002746.10	11.349094769323	-0.170772276727828	0.919974759382986	-0.185627132686078	0.852737174546136	NA
ENSG00000002822.11	65.6235931510868	-0.258159039558966	0.397583375372464	-0.649320508728812	0.516131232318055	0.792092762108968
ENSG00000002834.13	507.089018140644	0.0380010523607407	0.228996955907131	0.165945666003316	0.868199709410741	0.953961723744547
ENSG00000002919.10	47.4136231899312	-0.0741865073107413	0.457549711849399	-0.162138682179215	0.871196645222741	0.954563833780162
ENSG00000003056.3	172.715994091015	0.295269928234954	0.280909666900969	1.05112056659498	0.293203219334203	0.629321470518285
ENSG00000003096.9	12.3842383710005	0.207410811685446	0.896993322054184	0.231228936253905	0.817136951176636	NA
ENSG00000003147.13	36.9882149585099	-0.575666211073108	0.486269357675119	-1.18384225118646	0.236475513553631	0.570005208478486
ENSG00000003249.9	29.0806919331222	-0.715691381054537	0.556629837219446	-1.28575820626084	0.198527460308343	NA
ENSG00000003393.10	70.0105095276865	0.906943426490265	0.379635536565596	2.38898453684027	0.0168950134404459	0.188176260080446
ENSG00000003400.10	110.442528315388	-0.0762632163171279	0.324391376952248	-0.23509631184911	0.814133981204559	0.933808925958007
ENSG00000003402.15	501.073973437172	-0.177493874262617	0.251011286309977	-0.707115113714157	0.479494944426872	0.771781076521491
ENSG00000003436.10	370.043690108825	0.102571651755067	0.256675121775729	0.399616647867765	0.689438892708813	0.882465124524297
ENSG00000003509.11	48.6784831603249	0.273025449877206	0.440805279160692	0.619378811426794	0.535666836306438	0.804122602630434
ENSG00000003756.12	153.147839179952	-0.0679504682644394	0.288776738734141	-0.235304507427785	0.813972396910795	0.933808925958007
ENSG00000004059.6	178.932618173032	0.0749878883794139	0.28956753601145	0.258965108493546	0.795662161746939	0.925488195823666
ENSG00000004139.9	4.32929377743856	-2.30738588839563	1.38591601008409	-1.66488147305235	0.0959364051623786	NA
ENSG00000004142.7	166.743534084806	0.187245391970885	0.291381267396841	0.642613005440292	0.520475242049939	0.794301071590796
ENSG00000004399.8	97.686773714663	-0.308805182552877	0.354781867159115	-0.870408583802796	0.384077157397176	0.702100967273054
ENSG00000004455.12	749.891907657989	0.0814502603315085	0.235847544339087	0.345351318199032	0.729830270713525	0.901725935065212
ENSG00000004468.8	2.23044201917162	-0.535175672225298	1.85682094912751	-0.288221474707493	0.77317721150837	NA
ENSG00000004478.5	340.353131168779	0.438628337402072	0.239638546636507	1.83037471875257	0.0671939254067962	0.34430121852597
ENSG00000004487.11	437.836395443639	0.224392890520513	0.247724731190476	0.905815456705359	0.365033538448408	0.686897562592129
ENSG00000004534.10	177.193240719393	-0.57059132465801	0.283783918974749	-2.01065418618305	0.0443619963097198	0.290378395592839
ENSG00000004660.10	19.5202533484734	0.611154435869569	0.657065704148958	0.930126822950144	0.352305424373578	NA
ENSG00000004700.11	112.052363009425	0.0672587593522777	0.314850785137691	0.213621062824614	0.830842572771183	0.94045882070021
ENSG00000004766.11	49.0924842244039	0.85076634987592	0.440212151261229	1.93262804636	0.0532820348579001	0.314671826651271
ENSG00000004776.7	1.5399103842247	-3.66587281095131	2.66465390933582	-1.3757406911673	0.168901929186884	NA
ENSG00000004777.14	82.0647652584107	0.112099434234717	0.389594896957019	0.287733322767532	0.77355088031336	0.918320501643222
ENSG00000004779.5	119.132717770676	0.375686087746773	0.322323041845159	1.16555765171529	0.243793338154638	0.576426902048191
ENSG00000004799.7	1.92078298257633	0.336889590969971	1.86123141705658	0.181003602175779	0.856364748590728	NA
ENSG00000004838.9	17.9169516925841	0.147602404366153	0.717289326266769	0.205778057697261	0.836964281809863	NA
ENSG00000004846.12	12.6858901513492	0.436060817623151	0.780787852347316	0.558488219702961	0.576511046529301	NA
ENSG00000004864.9	111.030767981184	0.0577538214367833	0.328988358423907	0.175549741983169	0.860647689113237	0.95196374028725
ENSG00000004866.14	67.2764049170538	-0.0604286194277091	0.380041918682131	-0.159005142478117	0.873664822267888	0.955257409627394
ENSG00000004897.7	201.468395550114	0.258416531347366	0.292022536073198	0.884919824415851	0.376199875022305	0.697070880509838
ENSG00000004939.9	23.2753158721063	-0.761719459296383	0.606474699644143	-1.25597895467582	0.209123600424213	NA
ENSG00000004961.10	64.8914166583893	0.00551325381328189	0.390920493055369	0.0141032611777173	0.988747598671375	0.994496813378257
ENSG00000004975.7	86.387896433441	-0.87331491645275	0.394723506481886	-2.21247253358808	0.0269340319726873	0.229661754595856
ENSG00000005007.8	283.873367418328	0.152423265540537	0.25534069184754	0.596940755653419	0.550546935610657	0.810505364451003
ENSG00000005020.8	34.8217685270002	-0.903259195064828	0.523795635592314	-1.72444963968326	0.0846267028748547	0.373555486414375
ENSG00000005022.5	528.860800969242	-0.0939925149814536	0.230403240311865	-0.4079478867321	0.683311934974494	0.880659122119959
ENSG00000005059.11	10.8467804913473	1.16423298311115	0.847571539559558	1.3736102839368	0.169562702539886	NA
ENSG00000005075.11	150.901384350097	-0.000785969953443149	0.301927672200754	-0.00260317296428713	0.997922970828531	0.998915522594882
ENSG00000005100.8	76.6126011798517	0.108346875193202	0.362657840966496	0.298757845423811	0.765124817179327	0.915625662836492
ENSG00000005156.7	166.058467208703	-1.40640652381535	0.645250768924212	-2.17962781533786	0.0292850612399612	0.234437343536225
